label,text,image
2,cincinnati zoo delete twitter delete wrong fighting harambe,/data_bt4sa/76810/768105483622158336-3.jpg
2, milk nasty nasty nasty people pour cup drink straight spawn satan,/data_bt4sa/76810/768105655605530624-2.jpg
2,rather die passion boredom,/data_bt4sa/76810/768106108569415680-4.jpg
1,spacey as walking right pas juicy jumbo peach wtf dude disappointed,/data_bt4sa/76810/768106863531429889-1.jpg
3,outrageous  killed philippine government violent war drug must stop,/data_bt4sa/76810/768106897086054400-1.jpg
3,picture  year old people think blackhistory month overrated unnecessary,/data_bt4sa/76810/768107299755986944-1.jpg
1,bad girl,/data_bt4sa/76810/768107706615996416-1.jpg
3,rumor tpp death hasty say still major fight stoptpp,/data_bt4sa/76810/768108511888871424-1.jpg
3,talk shit,/data_bt4sa/76810/768109321427251200-1.jpg
3,talk shit,/data_bt4sa/76810/768109321427251200-2.jpg
3,minister nd accountable perform sack tm jaisha incident htt,/data_bt4sa/76810/768109526927024128-1.jpg
3,blocked ex everything managed message direct tv,/data_bt4sa/76810/768109875050213376-1.jpg
3,patrick daniel tillman gave multi million dollar career nfl threaten move gave life h,/data_bt4sa/76811/768110676158083073-1.jpg
1,kak sad child,/data_bt4sa/76811/768111158507077633-1.jpg
1,care sick puppy filter,/data_bt4sa/76811/768111972197904384-1.jpg
3,white male rapist get light sentence due justice system feeling sympathetic yeah never happens,/data_bt4sa/76811/768112345520439296-1.jpg
3,storm coming join voice ignored,/data_bt4sa/76811/768112391640977409-1.jpg
1,one fw bc hell still size,/data_bt4sa/76811/768112647485161472-1.jpg
2,wow evolution garbage truck insane,/data_bt4sa/76811/768112878180114432-3.jpg
3,finished dumb chair mind lighting fire,/data_bt4sa/76811/768113058522685440-1.jpg
3,israel bombarded gaza  airstrikes world turning blind eye like always gazaunderattack,/data_bt4sa/76811/768114295863255040-4.jpg
3,bdsm dominant yes sir master tie bed fuck u senseless lot foreplay,/data_bt4sa/76811/768114308421193728-1.jpg
3,confused,/data_bt4sa/76811/768114346199220225-1.jpg
3,people walk like direction life pas either left right hand side,/data_bt4sa/76811/768114513946214404-1.jpg
3,piece shit take white haired anime boy lust useless penguin form,/data_bt4sa/76811/768114958546694144-1.jpg
1,louisstewart passed sad talent,/data_bt4sa/76811/768115055002988545-1.jpg
1,sad,/data_bt4sa/76811/768115579290988545-2.jpg
1,sad,/data_bt4sa/76811/768115579290988545-4.jpg
3,supreme court partisan football kicked around senate leader stop treating like one,/data_bt4sa/76811/768116082615783425-1.jpg
3,mom slap tf outta public trying cry,/data_bt4sa/76811/768116195874762753-1.jpg
2,virgin acting though people sit floor pictured st class manc traingate,/data_bt4sa/76811/768116527203778564-1.jpg
3,hillarysemails blamed staff russia powell hillary press conference ask,/data_bt4sa/76811/768118230095241218-1.jpg
2,black people hate white people appropriating black hairstyle like braid dread etc,/data_bt4sa/76811/768118448203313152-3.jpg
3,case innocent asaram bapu ji sheer conspiracy stop pocso misuse justicebapuji,/data_bt4sa/76811/768118481757704192-1.jpg
1,tuesdaymotivation infomaniac got ton useless information,/data_bt4sa/76811/768118645327220736-1.jpg
0,nothing say punk quite like broad based opposition oppressive social norm yes,/data_bt4sa/76811/768118699886641152-1.jpg
1,lighting terrible look skin skincaretalk,/data_bt4sa/76811/768119282882404352-1.jpg
3,horrible scum say employer kept silent savile decadesdid neil know h,/data_bt4sa/76811/768119308044103681-1.jpg
1,hillary clinton email scandal got scary tech techn,/data_bt4sa/76811/768119442249244673-1.jpg
3,day  ballymurphy massacre british army begin  hour murder rampage killed  people htt,/data_bt4sa/76811/768119702329622528-1.jpg
3,around one six  smes uk admit cashflow problem release cash tied invoice htt,/data_bt4sa/76812/768120067217293312-1.jpg
1,miss thing lose hurt,/data_bt4sa/76812/768120092374757376-1.jpg
3,ryan lochte look like believe white male privilege made go away yet,/data_bt4sa/76812/768120352434032640-1.jpg
2,heck chef gyu damn underrateddont tell yall forgotten helped chicken wear clothing,/data_bt4sa/76812/768120503408087040-1.jpg
3,deadly virus member cdc use number different form stop pbl tlap,/data_bt4sa/76812/768120612493545472-1.jpg
3,deadly virus member cdc use number different form stop pbl tlap,/data_bt4sa/76812/768120612493545472-4.jpg
3,spend  hour makeup get sorry make text,/data_bt4sa/76812/768121556195274752-2.jpg
3,law wild say kill hungry,/data_bt4sa/76812/768121606535258112-1.jpg
1,one woman found sack field inside surprising sad,/data_bt4sa/76812/768122109847633920-1.jpg
1,chloe khan suck lollipop flaunt eye popping,/data_bt4sa/76812/768122952915247104-1.jpg
3,arrest warrant mother put infant refrigerator hour killing lasvegas,/data_bt4sa/76812/768123984701493249-1.jpg
3,donald desperate every politician provides audience big donor mention every politician msnbc ht,/data_bt4sa/76812/768124060186337281-1.jpg
1,think morbid,/data_bt4sa/76812/768124181833715713-1.jpg
1,think morbid,/data_bt4sa/76812/768124181833715713-2.jpg
3,olympics may dad hat never die,/data_bt4sa/76812/768124450244030464-1.jpg
2,bet naked shower fucking slut,/data_bt4sa/76812/768125091989323776-1.jpg
3,come fuck dirtygospel th opening bitch,/data_bt4sa/76812/768125092005945344-1.jpg
3,city fee ambulance ride unfair philly resident,/data_bt4sa/76812/768125939259740160-1.jpg
3,fbi nearly   uncovered email many statement proven false,/data_bt4sa/76812/768126128003358720-1.jpg
2,much confused hate child,/data_bt4sa/76812/768126899730182145-1.jpg
1,heartbreaking story zika calamitous attack baby brain radiology mri,/data_bt4sa/76812/768127344351543296-2.jpg
1,heartbreaking story zika calamitous attack baby brain radiology mri,/data_bt4sa/76812/768127344351543296-3.jpg
1,heartbreaking story zika calamitous attack baby brain radiology mri,/data_bt4sa/76812/768127344351543296-4.jpg
3,stop saying harley quinn amp joker goal abusive relationship stupid new fan,/data_bt4sa/76812/768127373711663104-1.jpg
3,farooqsattarconstitution mqm allow leader altaf rascal farooq lying htt,/data_bt4sa/76812/768127503701569536-1.jpg
1,show killing inside,/data_bt4sa/76812/768127520503795712-1.jpg
2,future vegan food gross,/data_bt4sa/76812/768127524673097728-1.jpg
2,canada immigration policy killing people cdnimm,/data_bt4sa/76812/768127801509543937-1.jpg
3,stay mute whole ariana mac miller thing hurt,/data_bt4sa/76812/768127885404143616-1.jpg
3,proof allegation case proved false asaram bapuji innocent justicebapuji h,/data_bt4sa/76812/768128078337810433-1.jpg
3,withdraw culture lose opportunity represent christ confused world,/data_bt4sa/76812/768128791352709120-1.jpg
3,confused youth today,/data_bt4sa/76812/768129252743151616-1.jpg
3,lot attractive people world ugly as soul,/data_bt4sa/76812/768129420523601920-1.jpg
1,health poor watch listen read corruptmedia neverhillary corrupthillary trumppence,/data_bt4sa/76812/768129823168266240-1.jpg
3,hi guy wanted show really alarming picture detention center hold immigrant inhumane,/data_bt4sa/76813/768130473293783040-2.jpg
1,satisfied completely drained keep sending findom,/data_bt4sa/76813/768131316340621312-1.jpg
3,anyone think scotland equal partner deluding simply brainwashed snpfail,/data_bt4sa/76813/768131416987144192-1.jpg
2,interviewer remember tweeting fuck job ima flip dope die bitch,/data_bt4sa/76813/768131693811212288-1.jpg
3,pay attention blatant hypocrisy distraction,/data_bt4sa/76813/768131861579268097-1.jpg
1,weak fear strong,/data_bt4sa/76813/768131861608554496-1.jpg
2,many parent feel others mean child child cyber bully see advice,/data_bt4sa/76813/768131890939326464-1.jpg
3,disgusting medium try justify israeli bombing gaza palestine,/data_bt4sa/76813/768132616553897985-1.jpg
2,america give shit war mongering isi weapon giver hillary email telling u,/data_bt4sa/76813/768132922775863297-1.jpg
3,life current situation struggle,/data_bt4sa/76813/768134231365132288-1.jpg
1,missing come wave tonight drowning,/data_bt4sa/76813/768134294309105665-1.jpg
1,missing come wave tonight drowning,/data_bt4sa/76813/768134294309105665-2.jpg
1,missing come wave tonight drowning,/data_bt4sa/76813/768134294309105665-4.jpg
1,tweeting bc one ugly hi,/data_bt4sa/76813/768134302680883201-1.jpg
3,fault,/data_bt4sa/76813/768134533371858944-1.jpg
3,school stop teaching cursive kid get dumber fact ridiculous,/data_bt4sa/76813/768135540004818945-1.jpg
1,bad week,/data_bt4sa/76813/768135867143708672-1.jpg
2,german go full ridiculous reminder greek make act common sense germany,/data_bt4sa/76813/768135917475422208-1.jpg
3,need leave everybody hell alone stay damn safe space exercise demon,/data_bt4sa/76813/768136290772496384-1.jpg
3,zach strief q concerned offense sure time panic week telling,/data_bt4sa/76813/768136517256568832-1.jpg
3,working garden shit funny moment,/data_bt4sa/76813/768136991225487360-1.jpg
3,corny dude try funny class everyone tell stfu reason class stay late  min bell,/data_bt4sa/76813/768137079314386945-1.jpg
1,israel danger humanity boycottapartheidisrael bd,/data_bt4sa/76813/768137138030411776-1.jpg
3,come dispatch arrive tomorrow pissed considering paid shipping prime,/data_bt4sa/76813/768137431652663296-1.jpg
2,ramen new currency prison food bad,/data_bt4sa/76813/768137435813249024-1.jpg
3,blasting harm marine life let happen arctic gt gt gt,/data_bt4sa/76813/768137641338494976-1.jpg
3,trump got pissed bc buzzfeed reporter took picture empty seat one rally let spread,/data_bt4sa/76813/768137981077008384-1.jpg
3,finally done drew thing without guideline even tho left facing bust referenced sob,/data_bt4sa/76813/768139302287052800-1.jpg
3,might make gut mar war mode look rage,/data_bt4sa/76813/768139432331317249-1.jpg
1,way hell way hell paulie right natalie right bb,/data_bt4sa/76813/768139507803656192-1.jpg
1,weird kid psych class kept picking nose eating smh,/data_bt4sa/76813/768139893709033473-1.jpg
3,really want draw short comic st time age yet think topic excessive,/data_bt4sa/76814/768140237629493248-1.jpg
3,lion lose sleep opinion sheep success motivation,/data_bt4sa/76814/768140367627714560-1.jpg
3,face devil fire hell burn cursed face amp fire awaits htt,/data_bt4sa/76814/768140485105971201-1.jpg
1,icantbeurfriendbecause negativity,/data_bt4sa/76814/768140556405006337-1.jpg
2,bitch  wtf think cold,/data_bt4sa/76814/768141160359473152-1.jpg
3,early anc conference bad idea say,/data_bt4sa/76814/768141344925749248-1.jpg
1,hey bothered watching waleed aly ever explain sharia wrong gay auspol,/data_bt4sa/76814/768141395240583168-1.jpg
3,expert british law rashid aslam say altaf may get  year prison proven guilty,/data_bt4sa/76814/768141433001902082-1.jpg
3,feminism son dy like fuck,/data_bt4sa/76814/768141797918961664-1.jpg
3,beaten back deluded chief losing market share inc online v report,/data_bt4sa/76814/768141898578010113-2.jpg
1,rip leslie lohan died shortly filming parent trap  never forgotten,/data_bt4sa/76814/768141953095434240-1.jpg
1,getting wanna lol fault,/data_bt4sa/76814/768142208939819008-1.jpg
2,woah gray could real trouble homophobic racist sexist old tweet,/data_bt4sa/76814/768143177815584769-4.jpg
2,study suggests terrible flying drone might think,/data_bt4sa/76814/768143467239182336-1.jpg
1,go follow tweet always dying,/data_bt4sa/76814/768143874103664640-1.jpg
0,side fat look generally first yoga workout,/data_bt4sa/76814/768143936980385792-1.jpg
3,world full people care le someone care unknown animalrights,/data_bt4sa/76814/768144071214895105-1.jpg
1,even though feverish amp feeling sick managed complete course without assisted aid emma,/data_bt4sa/76814/768144381593448448-2.jpg
1,sad picture rhyl sun centre ruin childhood memory,/data_bt4sa/76814/768144566138568704-2.jpg
2, men arrested savagely beating stabbing lost germanshepherd via cruelty,/data_bt4sa/76814/768145354680332288-1.jpg
1,smile even tho sad pc,/data_bt4sa/76814/768145400821874689-1.jpg
3,writer yes minister yes prime minister died,/data_bt4sa/76814/768146625554505728-1.jpg
1,could get good picture makeup today save life ugh,/data_bt4sa/76814/768146633922076672-1.jpg
1,could get good picture makeup today save life ugh,/data_bt4sa/76814/768146633922076672-2.jpg
1,could get good picture makeup today save life ugh,/data_bt4sa/76814/768146633922076672-3.jpg
1,could get good picture makeup today save life ugh,/data_bt4sa/76814/768146633922076672-4.jpg
2,crack spreading across massive ice shelf antarctica bad news sea level,/data_bt4sa/76814/768146650732736512-1.jpg
3,per jnu professor stop instigated fear state police,/data_bt4sa/76814/768146919159762944-1.jpg
1,living proof hiphop dead hurting pain emotionally unavailable,/data_bt4sa/76814/768147237905891328-1.jpg
3,someone tell consider sexually based offense especially heinous,/data_bt4sa/76814/768147841881477120-1.jpg
3,ppl thought scandal would get better primaryof course getting worse hillarysemails,/data_bt4sa/76814/768147950941900802-1.jpg
1,ur password stupid pal,/data_bt4sa/76814/768148227778547712-1.jpg
2,like palestinian people used experiment military equipment,/data_bt4sa/76814/768148290705694720-1.jpg
3,people shocked child soldier isi palestinian terror group decade,/data_bt4sa/76814/768148441688145920-1.jpg
3,someone hate try apologize,/data_bt4sa/76814/768148521367273477-1.jpg
3,anya amasova kgb lover killed  spy loved answer,/data_bt4sa/76814/768148705937657857-1.jpg
3,salutetopakrangers mqm always thrived fear gone mqm absent,/data_bt4sa/76814/768149758707924992-1.jpg
3,shove deep hole please ready go hell yet,/data_bt4sa/76815/768150119388774400-1.jpg
3,life balance kind let people abuse trust deceived content,/data_bt4sa/76815/768150756939542528-1.jpg
3,white life matter tired systematic racism put forth terror group blacklivesmatter,/data_bt4sa/76815/768151268653051904-1.jpg
3,salutetopakrangers need know hell give license grenade rocket launcher,/data_bt4sa/76815/768152011019878400-1.jpg
1,sad listen sad music purpose get sadder,/data_bt4sa/76815/768152652765093888-1.jpg
3,hillary supporter must think stuff phony something ignore brain dead,/data_bt4sa/76815/768153311283408896-1.jpg
1,ur bestfriend really petty,/data_bt4sa/76815/768153441281667072-1.jpg
2,dont somebody kill bastard yeh communist tuchiye always anti national nation pride,/data_bt4sa/76815/768154204636585984-1.jpg
3,sick hillary stand hidden stool behind keep held,/data_bt4sa/76815/768154288556281856-3.jpg
1,summer bad,/data_bt4sa/76815/768154296948887552-1.jpg
3,argue owning gun right abortion please slap rednationrising a chooselife h,/data_bt4sa/76815/768154473088815105-1.jpg
3,shame august worst month  coping,/data_bt4sa/76815/768154540214542336-1.jpg
3,hillary clinton spent  million worthless tv ad mean lousianaflood,/data_bt4sa/76815/768154863180152832-3.jpg
1,hurt heart today reading,/data_bt4sa/76815/768155781707370498-1.jpg
1,hurt heart today reading,/data_bt4sa/76815/768155781707370498-2.jpg
1,hurt heart today reading,/data_bt4sa/76815/768155781707370498-3.jpg
3,prime minister coward,/data_bt4sa/76815/768155907532451840-1.jpg
2, whale found dead shore germany stomach filled plastic waste dumped sea,/data_bt4sa/76815/768155970446856192-1.jpg
1,gotta keep cash flow working wait flow siphon sucked dry obama amp hillary want,/data_bt4sa/76815/768156394092634112-1.jpg
3,china biggest crude oil operator north sea amid concern,/data_bt4sa/76815/768157178435952640-1.jpg
3,whaling vessel pursue victim exhaustion fire grenade tipped harpoon iceland opwhales,/data_bt4sa/76815/768157300037005313-1.jpg
3,rather confused photo used enlighten auspol,/data_bt4sa/76815/768157379758284800-1.jpg
3,yes minister creator antony jay died age ,/data_bt4sa/76815/768157614639374336-1.jpg
1,ugh wish still view morning,/data_bt4sa/76815/768158361195917312-1.jpg
1,yeah worse nicotine,/data_bt4sa/76815/768158789048631296-1.jpg
1,paddy shocked find pierce rhona together,/data_bt4sa/76815/768158843540996097-2.jpg
1,paddy shocked find pierce rhona together,/data_bt4sa/76815/768158843540996097-3.jpg
1,attention george soros bad man surprisingly back amp fund blm,/data_bt4sa/76815/768158910683418624-1.jpg
3,extreme delay giving justice innocent asaram bapu ji case bogus justicebapuji,/data_bt4sa/76815/768159141336584192-1.jpg
3,dipshit give music bad name obozoworld stfu maga texanswithtrumprespect usa,/data_bt4sa/76815/768159183292084224-4.jpg
3,blackwomensequalpay single issue struggle intersectionality audrelorde,/data_bt4sa/76815/768159925667176452-1.jpg
3,fucking ab,/data_bt4sa/76816/768160143800492032-1.jpg
3,fucking ab,/data_bt4sa/76816/768160143800492032-3.jpg
3,history mankind repeatedly show govts trusted eg beware ldrs pushing gun control hillary tcot ht,/data_bt4sa/76816/768161108473450497-1.jpg
2,accidentally fed dog chocolate sick fuck,/data_bt4sa/76816/768162656163209216-1.jpg
2,kcra funeral cancer patient attacked killed shannon vincel springfield,/data_bt4sa/76816/768163033654755329-1.jpg
0,baes looking extra bomb today gaht damn,/data_bt4sa/76816/768163230803828736-1.jpg
0,baes looking extra bomb today gaht damn,/data_bt4sa/76816/768163230803828736-2.jpg
0,baes looking extra bomb today gaht damn,/data_bt4sa/76816/768163230803828736-3.jpg
0,baes looking extra bomb today gaht damn,/data_bt4sa/76816/768163230803828736-4.jpg
1,chocolate boring,/data_bt4sa/76816/768163633431838721-1.jpg
1,chocolate boring,/data_bt4sa/76816/768163633431838721-3.jpg
2,celeste guap call girl cop sex exploitation scandal say going rehab substance abuse sex addiction,/data_bt4sa/76816/768163918661378048-2.jpg
3,concept would actually cared ugly,/data_bt4sa/76816/768164879161262080-1.jpg
1,treat potential cry baby boohoo poco plane good flight yes,/data_bt4sa/76816/768164879165337600-1.jpg
3,stick around keep moving guess lie ahead one way find,/data_bt4sa/76816/768164933691465732-1.jpg
1,picture show humanity bad,/data_bt4sa/76816/768165428627636224-1.jpg
3,rikki hurting un intentionally,/data_bt4sa/76816/768167454472335360-2.jpg
1,sad,/data_bt4sa/76816/768168310080876546-1.jpg
1,sad,/data_bt4sa/76816/768168310080876546-2.jpg
1,sad,/data_bt4sa/76816/768168310080876546-3.jpg
2,strangerthings art suggests could way worse barb egg,/data_bt4sa/76816/768168448493051904-1.jpg
0,hotter hell night pushing  baby interval thismumcan,/data_bt4sa/76816/768169115391492096-1.jpg
3,much pain daredevil punisher art,/data_bt4sa/76816/768169153169502211-1.jpg
3,much pain daredevil punisher art,/data_bt4sa/76816/768169153169502211-2.jpg
3,respect enough walk away negative situation know one right amp,/data_bt4sa/76816/768169505478565888-1.jpg
0, promotes skin cancer red earphone subliminal message want dead,/data_bt4sa/76816/768169815844462592-1.jpg
3,hotter wife fantasy girl self control lost found findom ht,/data_bt4sa/76817/768170772158222336-1.jpg
2,tell tysonfoods stop starvingbirds pls via disgusting speechless,/data_bt4sa/76817/768170847668404225-2.jpg
3,fired hiliary bc lying unethical dishonest attorney jerry zeifman dtmag,/data_bt4sa/76817/768170952517558272-1.jpg
3,ever somebody accused saudi arabia apartheid course israel care,/data_bt4sa/76817/768172617643601920-1.jpg
0,cru clean mean boring texas scotland christian mystery romance suspense,/data_bt4sa/76817/768173276140929024-1.jpg
2,hate challenge without accepted u check new available challenge save time,/data_bt4sa/76817/768173548791668736-1.jpg
1,desperately sad news coming evening tom ryan passed away aged ,/data_bt4sa/76817/768173800454324225-1.jpg
1,horr ifies idea useless well educated brilliantly promising,/data_bt4sa/76817/768174224070447105-1.jpg
3,life short average nonsense sundayfunday,/data_bt4sa/76817/768176719685615616-1.jpg
2,tweeting go seem like luxury fuck phone least new camera still shit,/data_bt4sa/76817/768176950364045312-1.jpg
1,tb alison arrested sad pllday pllchat plltheory pll prettylittleliars prettylittleliars,/data_bt4sa/76817/768177583712239616-1.jpg
3,le  month removed worst mass shooting usa history run disturbing gun show ad,/data_bt4sa/76817/768178309301727232-1.jpg
3,incredulous judge toss lawsuit accusing starbucks putting much ice cold drink,/data_bt4sa/76817/768178447726309376-1.jpg
3,look like couple fight waiting one apologize,/data_bt4sa/76817/768178489660964864-1.jpg
3,funke akindele alias threatened beat satan head dey haux created accent,/data_bt4sa/76817/768178661652516865-1.jpg
3,yes kik palaminogirlie worship fucking tired pathetic loser come without,/data_bt4sa/76817/768178816837615616-1.jpg
3,first idea hisoka makeup alright ignore stupid egg head used aurora nymph,/data_bt4sa/76817/768179143968251904-3.jpg
3,help fallen poll get,/data_bt4sa/76817/768179341108711424-1.jpg
3,shame try game anyone amp everyone shape shifter without conscience foxldt dobbs,/data_bt4sa/76817/768179424986398720-1.jpg
3,really bad hurt see lmao familyguy cartoon say domestic violence,/data_bt4sa/76817/768179659892666369-1.jpg
3,rio marathon silver medallist return home protest say agent pic ap,/data_bt4sa/76817/768179970283757568-1.jpg
1,ouh going old voice memo found sad song,/data_bt4sa/76818/768180427437776896-1.jpg
3,spy allah curse u allah like people spy say,/data_bt4sa/76818/768180452628766720-1.jpg
3,coroner man police shootout died self inflicted gunshot wound,/data_bt4sa/76818/768181392140140544-1.jpg
1,gentle formula solution cat sensitive stomach,/data_bt4sa/76818/768181522151145472-1.jpg
3,hillary clinton may corrupt person ever seek presidency united state trumppence,/data_bt4sa/76818/768181706721333248-1.jpg
3,fooled elephant perform trick unless forced often beating boycotthecircus,/data_bt4sa/76818/768181924808499200-1.jpg
1,satisfied completely drained keep sending findom,/data_bt4sa/76818/768181958350409728-1.jpg
3,deport everyone trump fan bothered shift mass deportation,/data_bt4sa/76818/768182163883917312-1.jpg
2,mug send libs frenzy amp probably say u hate african american buy h,/data_bt4sa/76818/768182176458371072-1.jpg
2,hey nairobi hate chore laundry x home care delivered ks use tw k,/data_bt4sa/76818/768182323267379200-4.jpg
0,walking dead season  blu ray  never viewed digital copy,/data_bt4sa/76818/768182658832723968-1.jpg
2,ypg force inside central prison hasaka baath regime tortured prisoner decade,/data_bt4sa/76818/768183556401049600-1.jpg
3,different make person untrustworthy,/data_bt4sa/76818/768183963231936512-1.jpg
3,death familybatman   jason todd run away trying find mother know happens,/data_bt4sa/76818/768185259271651329-1.jpg
3,pc shit barely run game somehow manage,/data_bt4sa/76818/768185267668721664-1.jpg
1,still emo last episode bts bon voyage scared bc bighit drop far away mv,/data_bt4sa/76818/768185330583207936-2.jpg
1,still emo last episode bts bon voyage scared bc bighit drop far away mv,/data_bt4sa/76818/768185330583207936-4.jpg
0,one last night family journey creamfields begin sky tonight unreal,/data_bt4sa/76818/768186031015354368-3.jpg
3,effort fight discrimination may actually make worse,/data_bt4sa/76818/768186152679530496-1.jpg
2,surprised dead yet,/data_bt4sa/76818/768186156844519425-1.jpg
2,woman fight taken seriously cannabis help hurt read,/data_bt4sa/76818/768186534331879425-1.jpg
2,whole fucking day fucking work,/data_bt4sa/76818/768186593089687552-1.jpg
1,tagged song stay free clash sorry shitty quality,/data_bt4sa/76818/768186949576208384-1.jpg
1,tagged song stay free clash sorry shitty quality,/data_bt4sa/76818/768186949576208384-2.jpg
3,people stupid world,/data_bt4sa/76818/768187712943915008-1.jpg
1,silly galaxy note v iphone  speed test meaningless,/data_bt4sa/76818/768187733906821120-1.jpg
1,tootsie sad bc side door sad could meme,/data_bt4sa/76818/768187868137140224-1.jpg
3, hundred died thousand wounded coup bid turkey serious reaction europe ht,/data_bt4sa/76818/768187981370888193-1.jpg
3,excessive worrying negative psychological effect mentalhealth mindfulness worrying anxiety,/data_bt4sa/76818/768188623133020160-1.jpg
2,dead as hate type girl come function dance homegirl,/data_bt4sa/76818/768189709436813312-1.jpg
2,done sister typo even purpose,/data_bt4sa/76818/768189722023821312-1.jpg
3,relationship go hell real relationship get unknown author,/data_bt4sa/76819/768190015608283136-1.jpg
2,hate family coming roommom brought chicken nugget,/data_bt4sa/76819/768190246290857984-1.jpg
3,ksy highkey annoying play much lowkey lowkey greasy choke occurs frequently conversation,/data_bt4sa/76819/768190682527924224-1.jpg
3,much unnecessary padding omgwhy keep using thing one heard dan p,/data_bt4sa/76819/768191198418890752-1.jpg
3,marco rubio care zika crisis late clear care flsen,/data_bt4sa/76819/768191848519045122-1.jpg
3,look big fucking child know grass bcs hot refuse,/data_bt4sa/76819/768191945004883968-1.jpg
1,show chest absolutely still complaining,/data_bt4sa/76819/768192859363127296-1.jpg
1,huxley draining life energy look evil glint eye th poop day,/data_bt4sa/76819/768193157167091712-1.jpg
3,mannequin look like head blown,/data_bt4sa/76819/768193253615304704-1.jpg
1,exceptionally crappy journey home completely balanced finding waiting post,/data_bt4sa/76819/768193438172917762-2.jpg
2,l interfere people relationship,/data_bt4sa/76819/768193446549024768-2.jpg
3,libs ever get tired playing victim stop incessant whining amp go work hard blackwomensequalpay,/data_bt4sa/76819/768193463347060736-1.jpg
2,ypg found  year old child detainee regime prison traumatised cannot speak v,/data_bt4sa/76819/768193513653727232-1.jpg
1,get worse,/data_bt4sa/76819/768193559820324864-1.jpg
2,chicken korma probably white person favourite curry bland fuck,/data_bt4sa/76819/768194058950942720-1.jpg
2,chicken korma probably white person favourite curry bland fuck,/data_bt4sa/76819/768194058950942720-2.jpg
3,u ever feel bad urself beth pretended boy piss boy x,/data_bt4sa/76819/768194075715567616-2.jpg
3,mqm held rally show solidarity pakistan army ranger amp police fighting taliban mqmlovespakistan,/data_bt4sa/76819/768194314778402816-1.jpg
3,mqm held rally show solidarity pakistan army ranger amp police fighting taliban mqmlovespakistan,/data_bt4sa/76819/768194314778402816-2.jpg
1, play feeling,/data_bt4sa/76819/768194616789041152-2.jpg
1,play feeling,/data_bt4sa/76819/768194616789041152-3.jpg
1,play feeling ,/data_bt4sa/76819/768194616789041152-4.jpg
3,cryptic note left window shield seth car turn game life amp death,/data_bt4sa/76819/768195048773038080-1.jpg
1,common myth anxiety depression health,/data_bt4sa/76819/768195405322579972-1.jpg
3,blame gal trying,/data_bt4sa/76819/768195661170876417-2.jpg
3,shadoe tongue fly mouth random serious conversation  ,/data_bt4sa/76819/768197049451945984-1.jpg
3,shadoe tongue fly mouth random serious conversation  ,/data_bt4sa/76819/768197049451945984-2.jpg
